GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
moshi,edu.brown.cs.student.main.datasource,DatasourceException,7,0,0,0,3,0,1,0,1,0
moshi,edu.brown.cs.student.main.datasource,GeneralDataSource,96,0,8,0,25,0,10,0,5,0
moshi,edu.brown.cs.student.main.datasource,ColumnIdentifier,21,0,0,0,4,0,1,0,1,0
moshi,edu.brown.cs.student.main.datasource,ListOfStringsCreator,5,0,0,0,2,0,2,0,2,0
moshi,edu.brown.cs.student.main.datasource,Parser,125,0,12,0,31,0,13,0,7,0
moshi,edu.brown.cs.student.main.datasource,Searcher,171,0,24,0,38,0,17,0,5,0
moshi,edu.brown.cs.student.main.datasource,ACSDataSource,306,0,14,0,68,0,13,0,6,0
moshi,edu.brown.cs.student.main.datasource,CensusData,9,0,0,0,1,0,2,0,2,0
moshi,edu.brown.cs.student.main.soup,Soup,36,72,5,3,6,20,7,7,3,7
moshi,edu.brown.cs.student.main.soup,SoupAPIUtilities,87,29,0,0,25,7,3,2,3,2
moshi,edu.brown.cs.student.main.server,OrderHandler.SoupNoRecipesFailureResponse,0,24,0,0,0,5,0,4,0,4
moshi,edu.brown.cs.student.main.server,OrderHandler,0,50,0,2,0,10,0,3,0,2
moshi,edu.brown.cs.student.main.server,ActivityHandler,66,3,0,0,22,1,2,1,2,1
moshi,edu.brown.cs.student.main.server,Server,60,0,0,0,15,0,2,0,2,0
moshi,edu.brown.cs.student.main.server,OrderHandler.SoupSuccessResponse,5,33,0,0,3,6,0,5,0,5
moshi,edu.brown.cs.student.main.activity,ActivityAPIUtilities,26,0,0,0,8,0,2,0,2,0
moshi,edu.brown.cs.student.main.activity,Activity,9,0,0,0,2,0,2,0,2,0
moshi,edu.brown.cs.student.main.exceptions,MissingArgumentException,9,0,0,0,4,0,2,0,2,0
moshi,edu.brown.cs.student.main.exceptions,InvalidColumnIdentifierException,9,0,0,0,4,0,2,0,2,0
moshi,edu.brown.cs.student.main.exceptions,NoHeaderException,3,0,0,0,1,0,1,0,1,0
moshi,edu.brown.cs.student.main.exceptions,FactoryFailureException,10,0,0,0,3,0,1,0,1,0
moshi,edu.brown.cs.student.main.exceptions,MissingDataException,3,0,0,0,2,0,1,0,1,0
moshi,edu.brown.cs.student.main.exceptions,InvalidRequestArgumentException,9,0,0,0,4,0,2,0,2,0
moshi,edu.brown.cs.student.main.exceptions,InvalidColumnIdentifierValueException,9,0,0,0,4,0,2,0,2,0
moshi,edu.brown.cs.student.main.handlers.handler,SearchCSVHandler,106,0,6,0,23,0,6,0,3,0
moshi,edu.brown.cs.student.main.handlers.handler,BroadbandHandler,85,0,10,0,19,0,7,0,2,0
moshi,edu.brown.cs.student.main.handlers.handler,LoadCSVHandler,102,0,2,0,24,0,4,0,3,0
moshi,edu.brown.cs.student.main.handlers.handler,CreateResponse,22,0,0,0,6,0,2,0,2,0
moshi,edu.brown.cs.student.main.handlers.handler,LoadCSVHandler.ErrorResponse,26,0,0,0,3,0,4,0,4,0
moshi,edu.brown.cs.student.main.handlers.handler,ViewCSVHandler.ErrorResponse,20,0,0,0,3,0,3,0,3,0
moshi,edu.brown.cs.student.main.handlers.handler,BroadbandHandler.SuccessResponse,31,0,0,0,5,0,5,0,5,0
moshi,edu.brown.cs.student.main.handlers.handler,ViewCSVHandler,16,0,0,0,5,0,2,0,2,0
moshi,edu.brown.cs.student.main.handlers.handler,SearchCSVHandler.SuccessResponse,31,0,0,0,5,0,5,0,5,0
moshi,edu.brown.cs.student.main.handlers.handler,BroadbandHandler.ErrorResponse,20,0,0,0,3,0,3,0,3,0
moshi,edu.brown.cs.student.main.handlers.handler,RequestHelper,49,0,4,0,12,0,4,0,2,0
moshi,edu.brown.cs.student.main.handlers.handler,ViewCSVHandler.SuccessResponse,31,0,0,0,5,0,5,0,5,0
moshi,edu.brown.cs.student.main.handlers.handler,LoadCSVHandler.SuccessResponse,31,0,0,0,5,0,5,0,5,0
moshi,edu.brown.cs.student.main.handlers.handler,SearchCSVHandler.ErrorResponse,20,0,0,0,3,0,3,0,3,0
